County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,longitude,latitude
New York,756114,Store,JAC,NY A&M 1990 CORP,NY A&M 1990,1187,1ST AVE,,,NEW YORK,NY,10065,0,-73.95954 40.76297,-73.95954,40.76297
Kings,756059,Store,JAC,RAHMA GROCERY INC,RAHMA GROCERY,1325,FOSTER AVE,,,BROOKLYN,NY,11230,0,-73.96402 40.63362,-73.96402,40.63362
Queens,756058,Store,A,CHAPARRITA GROCERY INC,CHAPARRITA GROCERY,7412,METROPOLITAN AVE,,,MIDDLE VILLAGE,NY,11379,0,-73.87789 40.71287,-73.87789,40.71287
New York,756032,Store,JAC,ITO INC,TIKKA,66,BROADWAY,,,NEW YORK,NY,10005,0,-74.01228 40.70706,-74.01228,40.70706
Kings,756028,Store,JAC,CHICKEN MEAT CORP,AMERICA'S FOOD BASKET,1380,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11236,0,-73.9034 40.64613,-73.9034,40.64613
Kings,756025,Store,JAC,UTICA HALAL LIVE POULTRY 1 CORP,UTICA HALAL LIVE POULTR,473,UTICA AVENUE ATTN : ABDEL SAL,,,BROOKLYN,NY,11203,0,-73.9315 40.66219,-73.9315,40.66219
Queens,755999,Store,JAC,HAPPY MARKET US INC,HAPPY MARKET,82-02,45TH AVE,,,ELMHURST,NY,11373,5000,-73.88275 40.74163,-73.88275,40.74163
Kings,755995,Store,JAC,BOGOPA FLATBUSH INC,FOOD BAZAAR SUPERMARKET,1009,FLATBUSH AVE,,,BROOKLYN,NY,11226,60000,-73.95811 40.64669,-73.95811,40.64669
Kings,755992,Store,JAC,GOLDEN SUN FRESH FISH MARKET INC,SUN FRESH FISH MARKET,1128,FLATBUSH AVE,,,BROOKLYN,NY,11226,0,-73.9577 40.64295,-73.9577,40.64295
Kings,755991,Store,JAC,OLIVE & GARLIC GOURMET MARKET 1 I,OLIVE & GARLIC GOURMET,141,MONTAGUE ST,,,BROOKLYN,NY,11201,0,-73.99374 40.69464,-73.99374,40.69464
Kings,755987,Store,JAC,QUICK SHOP NY CORP,QUICK SHOP NY,3521,AVENUE S,,,BROOKLYN,NY,11234,0,-73.93153 40.60962,-73.93153,40.60962
Kings,755986,Store,JAC,AZOMOSA EVARISTO,AZOMOSA EVARISTO,3918,3RD AVE,,,BROOKLYN,NY,11220,0,-74.00873 40.65352,-74.00873,40.65352
New York,755984,Store,JAC,BEST DAMN COOKIES LLC,BEST DAMN COOKIES,115,DELANCEY,,,NEW YORK,NY,10002,0,-73.98799 40.71839,-73.98799,40.71839
Queens,755972,Store,JAC,F&M CAPITAL LLC,HOKKAIDO BAKED CHEESE T,8036,COOPER AVE,,,RIDGEWOOD,NY,11385,0,-73.86859 40.7098,-73.86859,40.7098
Bronx,755971,Store,JAC,ALLERTON MARKET LLC,ALLERTON MARKET,766,ALLERTON AVE,,,BRONX,NY,10467,0,-73.86483 40.86548,-73.86483,40.86548
